id_student,student_name,gender,region,highest_education,imd_band,age_band,disability,studied_credits,course,CGPA
11391,Emily West,M,East Anglian Region,HE Qualification,90-100%,55<=,N,240,Engineering,3.45
28400,Jon Ball,F,Scotland,HE Qualification,20-30%,35-55,N,60,Graphic Design,3.53
30268,Richard Barton,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,60,Law,3.37
31604,Rebecca Underwood,F,South East Region,A Level or Equivalent,50-60%,35-55,N,60,Computer Science,3.09
32885,Patricia Holland,F,West Midlands Region,Lower Than A Level,50-60%,0-35,N,60,Computer Science,3.67
38053,Kyle Jones,M,Wales,A Level or Equivalent,80-90%,35-55,N,60,Engineering,3.48
45462,Adam Patterson,M,Scotland,HE Qualification,30-40%,0-35,N,60,Computer Science,2.3
45642,Barbara Contreras,F,North Western Region,A Level or Equivalent,90-100%,0-35,N,120,Engineering,3.81
52130,Kathleen Cox,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,90,Medical,2.14
53025,Jacob Ray,M,North Region,Post Graduate Qualification,,55<=,N,60,Engineering,3.36
57506,Cassandra Todd,M,South Region,Lower Than A Level,70-80%,35-55,N,60,Music,3.54
58873,Jonathan Rodriguez,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,60,Music,3.5
59185,Lisa Barker,M,East Anglian Region,Lower Than A Level,60-70%,35-55,N,60,Engineering,2.41
62155,Andrea Galvan,F,North Western Region,HE Qualification,50-60%,0-35,N,60,Computer Science,3.67
63400,Jeremy Frey Jr.,M,Scotland,Lower Than A Level,40-50%,35-55,N,60,Business,2.4
65002,Steven Travis,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,60,Business,2.25
70464,Aaron Crawford,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,N,60,Law,2.03
71361,Stacey Mcdonald,M,Ireland,HE Qualification,,35-55,N,60,Engineering,3.67
74372,Kathleen Reese,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N,150,Computer Science,2.7
75091,Katrina Griffin,M,South West Region,A Level or Equivalent,30-40%,35-55,N,60,Law,3.82
77367,Jacqueline Gallagher,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,60,Law,3.14
91265,Alexander Martin,M,North Western Region,HE Qualification,0-10%,0-35,N,60,Medical,3.35
94961,Erica Martin,M,South Region,Lower Than A Level,70-80%,35-55,N,60,Medical,2.48
98094,William Campbell,M,Wales,Lower Than A Level,70-80%,35-55,N,60,Fine Arts,3.98
100893,Jennifer Johnson,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N,60,Medical,3.88
101781,Samantha Vega,M,South Region,Lower Than A Level,80-90%,35-55,N,60,Engineering,2.1
102806,Kelly Flores,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,60,Graphic Design,2.48
102952,Melinda Perez,M,London Region,HE Qualification,60-70%,0-35,N,60,Medical,3.55
104476,Kristin Martinez,M,Ireland,Post Graduate Qualification,,35-55,N,60,Law,3.29
106247,Taylor Russell,M,South Region,HE Qualification,80-90%,35-55,N,60,Computer Science,3.14
106577,Christopher Hamilton,M,East Midlands Region,Lower Than A Level,20-30%,0-35,N,60,Fine Arts,2.65
110175,Angelica Ramirez,M,East Anglian Region,HE Qualification,80-90%,35-55,N,60,Engineering,2.98
111717,Brandon Simon,F,East Anglian Region,HE Qualification,90-100%,35-55,N,60,Business,2.7
113295,Dr. Jasmine Alexander MD,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,N,60,Business,3.52
114017,Trevor Bowman,F,North Region,Post Graduate Qualification,,35-55,N,60,Philosophy,2.06
114999,Janet Hopkins,M,Yorkshire Region,HE Qualification,60-70%,35-55,N,60,Law,2.39
116541,Leslie Levine,M,Wales,HE Qualification,0-10%,0-35,N,60,Medical,2.32
116692,Madison Nichols,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,N,60,Computer Science,2.26
118983,Jeffrey Arroyo,M,East Midlands Region,HE Qualification,30-40%,0-35,N,120,Engineering,3.18
123044,Jeffrey Suarez,M,South Region,A Level or Equivalent,40-50%,35-55,N,60,Fine Arts,2.97
127582,Abigail Rogers,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,180,Engineering,2.03
129955,Susan Fuller,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,N,60,Business,2.28
132976,Sheri Smith,F,East Anglian Region,Lower Than A Level,80-90%,35-55,N,120,Law,3.58
134143,Bryan Townsend,F,South East Region,A Level or Equivalent,90-100%,35-55,N,60,Engineering,3.41
135335,Michael Thomas,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,180,Engineering,2.08
135400,Christopher Day,F,South East Region,Lower Than A Level,90-100%,35-55,Y,60,Law,2.04
137873,Meredith Martinez,M,South West Region,A Level or Equivalent,40-50%,35-55,N,60,Business,3.81
141355,Isaiah Hudson,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,240,Medical,3.09
141377,Daniel Harris,M,South West Region,A Level or Equivalent,90-100%,0-35,N,345,Business,2.77
142326,Erik Reynolds,F,North Region,A Level or Equivalent,50-60%,35-55,N,60,Music,2.26
144801,Hannah Booker,F,South Region,HE Qualification,80-90%,35-55,N,60,Law,3.08
145130,Anthony Richardson,M,South West Region,HE Qualification,60-70%,0-35,N,120,Medical,3.08
146188,Tina Santos,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,Y,60,Engineering,2.31
147756,Richard Little,M,North Region,Lower Than A Level,60-70%,0-35,N,120,Law,4.0
147793,Amber Hartman,F,North Region,Lower Than A Level,80-90%,0-35,N,90,Medical,3.43
148993,Mathew Hernandez,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,60,Medical,3.32
151358,Lori Cisneros,F,London Region,A Level or Equivalent,80-90%,0-35,N,150,Medical,3.03
155550,Scott Roth,M,London Region,A Level or Equivalent,0-10%,35-55,N,420,Engineering,3.38
155854,Lindsay Ross,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,60,Computer Science,2.63
155984,Michael Caldwell,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,60,Engineering,3.15
157568,John Ruiz,F,South West Region,A Level or Equivalent,90-100%,0-35,N,60,Medical,3.37
159954,Ryan Walker,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,N,60,Law,3.97
164259,Leah Grant,M,Scotland,A Level or Equivalent,70-80%,0-35,N,60,Theater,2.37
167906,Rebecca Wheeler,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,N,60,Computer Science,2.79
168936,Jennifer Williams,F,West Midlands Region,Lower Than A Level,10-20,35-55,N,60,Computer Science,2.13
172112,Erika Campbell,M,Ireland,HE Qualification,,35-55,N,60,Medical,2.18
172797,Joseph Harrell,F,Ireland,A Level or Equivalent,,35-55,N,60,Medical,3.56
174782,Nathan Warner,M,East Anglian Region,HE Qualification,90-100%,55<=,N,60,Engineering,3.27
175392,John Black,M,North Region,HE Qualification,,35-55,N,60,Business,3.3
175932,Eugene Brown,M,North Western Region,HE Qualification,70-80%,35-55,N,60,Computer Science,3.23
175991,Bethany Walker,F,North Western Region,A Level or Equivalent,80-90%,0-35,N,180,Theater,2.63
180753,Brittany Gonzalez,M,South West Region,A Level or Equivalent,30-40%,0-35,N,120,Computer Science,2.8
181316,Thomas Williams,F,South West Region,A Level or Equivalent,80-90%,35-55,N,120,Medical,3.99
183096,Joseph Tucker,F,South West Region,A Level or Equivalent,60-70%,0-35,N,60,Engineering,2.86
183947,Dr. Kimberly Phelps DVM,M,London Region,A Level or Equivalent,10-20,0-35,N,180,Engineering,3.6
184271,Brenda Scott,M,South West Region,HE Qualification,80-90%,35-55,N,170,Business,3.25
185439,Brenda Davis,M,London Region,HE Qualification,10-20,0-35,N,120,Engineering,2.27
186149,Todd Tyler,M,Scotland,HE Qualification,30-40%,35-55,N,60,Medical,2.55
187100,Lori Hampton,M,South East Region,A Level or Equivalent,50-60%,35-55,N,60,Philosophy,3.71
188278,Rachel Hines,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,N,120,Law,3.54
189879,Thomas Case,M,Scotland,A Level or Equivalent,90-100%,0-35,N,120,Literature,3.22
192183,Marisa White,F,South West Region,Lower Than A Level,90-100%,0-35,N,60,Medical,2.89
195262,Jason Henderson,M,London Region,A Level or Equivalent,90-100%,0-35,N,60,Theater,2.15
200860,Robert Coleman,M,London Region,Lower Than A Level,50-60%,35-55,N,60,Engineering,3.76
202635,Stacy Campbell,F,Wales,A Level or Equivalent,30-40%,0-35,N,60,Engineering,3.11
205350,Sara Barnett,M,South West Region,HE Qualification,80-90%,35-55,N,60,Computer Science,2.53
205719,Sabrina Hill,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,Y,90,Computer Science,3.01
227499,Chad Santiago,F,London Region,A Level or Equivalent,10-20,35-55,N,60,Business,3.83
227517,Ryan Simpson,M,Ireland,HE Qualification,,0-35,N,180,Computer Science,2.23
228082,Andrew Turner,M,London Region,HE Qualification,60-70%,0-35,N,60,Medical,4.0
228222,Jill Logan,M,East Midlands Region,Lower Than A Level,50-60%,0-35,N,60,Engineering,3.76
229179,Tyler Horn,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,60,History,3.49
229361,Miguel Cordova PhD,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,60,Law,2.54
231554,Gregory Liu,M,London Region,A Level or Equivalent,40-50%,0-35,N,240,Engineering,3.55
235507,Joseph Collins,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,240,Engineering,3.56
236284,Danielle Hall,M,Scotland,Post Graduate Qualification,90-100%,0-35,N,60,Engineering,3.04
238007,Jonathan Thomas,M,South Region,HE Qualification,90-100%,55<=,N,60,Medical,3.28
240712,Wendy Carlson,M,London Region,HE Qualification,80-90%,0-35,N,80,Medical,3.35
240884,Anne Smith,M,South Region,A Level or Equivalent,90-100%,0-35,N,120,Computer Science,3.67
241649,Timothy Medina,M,East Anglian Region,HE Qualification,90-100%,35-55,N,60,Business,3.53
241729,Joe Davis,F,East Midlands Region,HE Qualification,60-70%,35-55,N,60,Engineering,3.33
242793,Brian Carpenter,M,London Region,HE Qualification,20-30%,35-55,N,60,Graphic Design,3.36
246834,Erin Duffy,M,South West Region,A Level or Equivalent,90-100%,35-55,N,60,Engineering,2.5
248270,Crystal Cain,M,North Western Region,Lower Than A Level,20-30%,0-35,N,90,History,3.34
255548,Robin Williamson,M,Wales,Lower Than A Level,20-30%,35-55,N,60,Fine Arts,2.19
256815,Elijah Christensen Jr.,M,North Western Region,HE Qualification,10-20,0-35,N,120,Computer Science,2.75
